horizon,store_id,model,MAE,"MAPE, %",rows,fold
7,1,baseline_week_ago,69.16666666666667,13.654301044203661,36,4
7,1,baseline_two_weeks_ago,36.166666666666664,7.013384082528014,36,4
7,1,prophet,34.82357214540596,6.810039802517396,36,4
7,1,boosting,25.965085213168706,5.243832720780675,36,4
7,20,baseline_week_ago,86.66666666666667,9.750804001096608,36,4
7,20,baseline_two_weeks_ago,61.27777777777778,6.7901128693103745,36,4
7,20,prophet,54.22380258760297,6.128012892274459,36,4
7,20,boosting,44.99210055261622,5.208891656200112,36,4
все,все,baseline_week_ago,71.84722222222223,10.887204941834193,504,1
все,все,baseline_two_weeks_ago,61.291666666666664,9.192733598940771,504,1
все,все,prophet,49.32886652876467,7.919736212354684,504,1
все,все,boosting,43.95102520622477,6.772359435152119,504,1
все,1,baseline_week_ago,67.11111111111111,12.726579264070963,252,1
все,1,baseline_two_weeks_ago,54.44444444444444,10.471342614526371,252,1
все,1,prophet,47.62123446546174,9.399301078353512,252,1
все,1,boosting,37.30458894569526,7.338385556080898,252,1
все,20,baseline_week_ago,76.58333333333333,9.047830619597422,252,1
все,20,baseline_two_weeks_ago,68.13888888888889,7.914124583355167,252,1
все,20,prophet,51.03649859206761,6.440171346355856,252,1
все,20,boosting,50.5974614667543,6.2063333142233414,252,1
все,все,baseline_week_ago,95.66161616161615,14.64630425656233,462,2
все,все,baseline_two_weeks_ago,81.25252525252525,12.663944546922087,462,2
все,все,prophet,46.389322976796365,6.766262960917327,462,2
все,все,boosting,54.06172768964534,8.16501141651484,462,2
все,1,baseline_week_ago,111.7979797979798,20.283370713737973,231,2
все,1,baseline_two_weeks_ago,101.22222222222223,18.239326542068955,231,2
все,1,prophet,39.43314862935999,7.005434745649078,231,2
все,1,boosting,55.398441126764475,9.96029646413215,231,2
все,20,baseline_week_ago,79.52525252525254,9.00923779938668,231,2
все,20,baseline_two_weeks_ago,61.28282828282828,7.088562551775213,231,2
все,20,prophet,53.34549732423274,6.527091176185576,231,2
все,20,boosting,52.725014252526194,6.369726368897531,231,2
все,все,baseline_week_ago,77.87878787878788,12.047295214963201,462,3
все,все,baseline_two_weeks_ago,67.08080808080808,10.23938753242437,462,3
все,все,prophet,52.61679335302666,7.774739253547802,462,3
все,все,boosting,48.29727537925127,7.087503398860723,462,3
